FET Vds-Id
VG= -40 to 9.95 in 0.15 step
VDS= -20 to 0 in 5 step
NO. VG ID
 V A
280 1.85 -2.6379E-07
281 2 -3.1884E-07
282 2.15 -2.6707E-07
283 2.3 -1.856E-07
284 2.45 -2.3309E-07
285 2.6 -3.0833E-07
286 2.75 -2.4955E-07
287 2.9 -1.6683E-07
288 3.05 -1.9506E-07
289 3.2 -2.6317E-07
290 3.35 -2.4323E-07
291 3.5 -1.6513E-07
292 3.65 -1.6136E-07
293 3.8 -2.391E-07
294 3.95 -2.39E-07
295 4.1 -1.4412E-07
296 4.25 -1.2443E-07
297 4.4 -2.1769E-07
298 4.55 -2.2681E-07
299 4.7 -1.3475E-07
300 4.85 -1.2364E-07
301 5 -1.9275E-07
302 5.15 -1.9703E-07
303 5.3 -1.2917E-07
304 5.45 -9.947E-08
305 5.6 -1.6967E-07
306 5.75 -2.0371E-07
307 5.9 -1.3113E-07
308 6.05 -1.387E-07
309 6.2 -1.8558E-07
310 6.35 -1.3487E-07
311 6.5 -1.6487E-07
312 6.65 -1.6867E-07
313 6.8 -9.069E-08
314 6.95 -1.6772E-07
315 7.1 -1.4687E-07
316 7.25 -1.0535E-07
317 7.4 -1.3879E-07
318 7.55 -1.4411E-07
319 7.7 -7.778E-08
320 7.85 -1.4433E-07
321 8 -1.5496E-07
322 8.15 -8.1706E-08
323 8.3 -1.3715E-07
324 8.45 -1.4709E-07
325 8.6 -7.648E-08
326 8.75 -1.08172E-07
327 8.9 -1.1433E-07
328 9.05 -1.07645E-07
329 9.2 -9.8385E-08
330 9.35 -9.5154E-08
331 9.5 -6.7142E-08
332 9.65 -7.1401E-08
333 9.8 -6.8974E-08
334 9.95 -6.4612E-08
335 -40 -1.1772E-05
336 -39.85 -1.1762E-05
337 -39.7 -1.1763E-05
338 -39.55 -1.1634E-05
339 -39.4 -1.1471E-05
340 -39.25 -1.1422E-05
341 -39.1 -1.1409E-05
342 -38.95 -1.1311E-05
343 -38.8 -1.1153E-05
344 -38.65 -1.1067E-05
345 -38.5 -1.1065E-05
346 -38.35 -1.0984E-05
347 -38.2 -1.0807E-05
348 -38.05 -1.0708E-05
349 -37.9 -1.072E-05
350 -37.75 -1.065E-05
351 -37.6 -1.0479E-05
352 -37.45 -1.0388E-05
353 -37.3 -1.0379E-05
354 -37.15 -1.0307E-05
355 -37 -1.0162E-05
356 -36.85 -1.0056E-05
357 -36.7 -1.005E-05
358 -36.55 -9.8849E-06
359 -36.4 -9.8098E-06
360 -36.25 -9.825E-06
361 -36.1 -9.7089E-06
362 -35.95 -9.5578E-06
363 -35.8 -9.5345E-06
364 -35.65 -9.5188E-06
365 -35.5 -9.3711E-06
366 -35.35 -9.2628E-06
367 -35.2 -9.2693E-06
368 -35.05 -9.2097E-06
369 -34.9 -9.0422E-06
370 -34.75 -8.9848E-06
371 -34.6 -9E-06
372 -34.45 -8.8746E-06
373 -34.3 -8.7394E-06
374 -34.15 -8.723E-06
375 -34 -8.7039E-06
376 -33.85 -8.5525E-06
377 -33.7 -8.4604E-06
378 -33.55 -8.4785E-06
379 -33.4 -8.4112E-06
380 -33.25 -8.2465E-06
381 -33.1 -8.2111E-06
382 -32.95 -8.22E-06
383 -32.8 -8.0958E-06
384 -32.65 -7.9689E-06
385 -32.5 -7.968E-06
386 -32.35 -7.9344E-06
387 -32.2 -7.7862E-06
388 -32.05 -7.7034E-06
389 -31.9 -7.7274E-06
390 -31.75 -7.6492E-06
391 -31.6 -7.4937E-06
392 -31.45 -7.4776E-06
393 -31.3 -7.4763E-06
394 -31.15 -7.3574E-06
395 -31 -7.2366E-06
396 -30.85 -7.2517E-06
397 -30.7 -7.2113E-06
398 -30.55 -7.0611E-06
399 -30.4 -6.9914E-06
400 -30.25 -7.0226E-06
401 -30.1 -6.9309E-06
402 -29.95 -6.7868E-06
403 -29.8 -6.7798E-06
404 -29.65 -6.7776E-06
405 -29.5 -6.6531E-06
406 -29.35 -6.5524E-06
407 -29.2 -6.5725E-06
408 -29.05 -6.5285E-06
409 -28.9 -6.379E-06
410 -28.75 -6.3263E-06
411 -28.6 -6.3593E-06
412 -28.45 -6.2537E-06
413 -28.3 -6.1274E-06
414 -28.15 -6.1226E-06
415 -28 -6.1232E-06
416 -27.85 -5.9878E-06
417 -27.7 -5.9042E-06
418 -27.55 -5.9316E-06
419 -27.4 -5.8846E-06
420 -27.25 -5.7341E-06
421 -27.1 -5.7022E-06
422 -26.95 -5.7307E-06
423 -26.8 -5.6209E-06
424 -26.65 -5.5048E-06
425 -26.5 -5.5112E-06
426 -26.35 -5.5003E-06
427 -26.2 -5.3656E-06
428 -26.05 -5.2935E-06
429 -25.9 -5.3295E-06
430 -25.75 -5.2724E-06
431 -25.6 -5.1279E-06
432 -25.45 -5.1177E-06
433 -25.3 -5.1361E-06
434 -25.15 -5.0304E-06
435 -25 -4.9201E-06
436 -24.85 -4.9426E-06
437 -24.7 -4.9213E-06
438 -24.55 -4.7884E-06
439 -24.4 -4.7256E-06
440 -24.25 -4.7699E-06
441 -24.1 -4.7007E-06
442 -23.95 -4.5652E-06
443 -23.8 -4.5712E-06
